"shortlet_name","shortlet_url","shortlet_Address","shortlet_Price"
"2 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-shortlet-30-32-johnson-street-onike-yaba-lagos-onike-yaba-lagos-9GECH","30/32 Johnson Street, Onike, Yaba, Lagos Onike Yaba Lagos","35,000/day"
"3 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-shortlet-house-2-frisco-court-gbanbala-street-ikate-lekki-ikate-lekki-lagos-0GQBY","House 2, Frisco Court, Gbanbala Street Ikate Lekki Ikate Lekki Lagos","95,000/day"
"3 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-shortlet-no-10-ayodele-odubiyi-street-off-oriwu-street-lekki-phase-1-lekki-lagos-9GQEV","No 10, Ayodele Odubiyi Street, Off Oriwu Street Lekki Phase 1 Lekki Lagos","95,000/day"
"3 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-shortlet-unit-a2-alexandra-terrace-gbangbala-street-ikate-lekki-lagos-2GQFG","Unit A2, Alexandra Terrace Gbangbala Street Ikate Lekki Lagos","100,000/day"
"4 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/4-bedroom-flat-apartment-for-shortlet-unit-3-terrace-3-orinba-close-crown-court-estate-victoria-island-extension-victoria-island-lagos-7GQFH","Unit 3, Terrace 3, Orinba Close, Crown Court Estate Victoria Island Extension Victoria Island Lagos","120,000/day"
"3 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-shortlet-c38-eko-court-174-kofo-ayobami-street-victoria-island-lagos-2GQFP","C38 Eko Court, 174 Kofo Ayobami Street Victoria Island Lagos","125,000/day"
"2 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-shortlet-midak-mews-apartment-plot-19-olowo-eko-close-jose-maria-escriva-estate-lekki-phase-1-lekki-lagos-4GQFQ","Midak Mews Apartment, Plot 19 Olowo Eko Close, Jose Maria Escriva Estate Lekki Phase 1 Lekki Lagos","85,000/day"
"4 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/4-bedroom-flat-apartment-for-shortlet-ologolo-lekki-lagos-9GQGQ","Ologolo Lekki Lagos","105,000/day"
"2 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-shortlet-onike-yaba-lagos-4GQGR","Onike Yaba Lagos","45,000/day"
"1 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-shortlet-osapa-london-lekki-lagos-4HFRE","Osapa London Lekki Lagos","40,000/day"
